"","Loss","accuracy"
"1",10.9553,0.3654
"2",2.0277,0.501
"3",2.2247,0.4898
"4",3.7476,0.4941
"5",4.0644,0.4892
"6",3.6721,0.4648
"7",2.734,0.4869
"8",1.4694,0.5306
"9",0.6378,0.6073
"10",0.3973,0.6944
"11",0.3912,0.7062
"12",0.4593,0.8183
"13",0.4167,0.6678
"14",0.3651,0.9013
"15",0.4956,0.6371
"16",0.7235,0.5252
"17",0.3881,0.7092
"18",0.2602,0.9424
"19",0.4748,0.6432
"20",0.346,0.7541
"21",0.2154,0.9852
"22",0.4082,0.6921
"23",0.2987,0.8141
"24",0.1716,0.9972
"25",0.3697,0.7364
"26",0.4012,0.7127
"27",0.1846,0.9864
"28",0.817,0.8313
"29",3.3777,0.4959
"30",3.8364,0.487
"31",2.8258,0.508
"32",1.9076,0.4972
"33",0.8001,0.6032
"34",0.1628,0.9783
"35",0.2321,0.9973
"36",0.1065,1
"37",0.1064,1
"38",0.0768,0.9993
"39",0.1447,0.991
"40",0.2374,0.9107
"41",0.1361,1
"42",0.0756,1
"43",0.047,1
"44",0.0446,1
"45",0.0433,1
"46",0.0461,1
"47",0.0624,1
"48",0.0499,1
"49",0.3345,0.8954
"50",1.6881,0.4762
"51",1.4183,0.5308
"52",0.5772,0.6744
"53",0.1289,0.9838
"54",0.0518,0.9967
"55",0.0644,1
"56",0.068,1
"57",0.0444,1
"58",0.0354,1
"59",0.0603,0.9968
"60",0.2933,0.847
"61",0.295,0.8515
"62",0.1229,1
"63",0.048,1
"64",0.0435,0.9986
"65",0.198,0.9134
"66",0.3157,0.79
"67",0.1374,0.9728
"68",0.0585,1
"69",0.0292,1
"70",0.1211,0.9973
"71",0.0713,1
"72",0.0853,1
"73",0.0602,1
"74",0.0337,1
"75",0.026,1
"76",0.0178,1
"77",0.0233,0.9958
"78",0.038,1
"79",0.0393,1
"80",0.0324,1
"81",0.0258,1
"82",0.0288,0.9993
"83",0.0624,0.9995
"84",0.1509,0.9959
"85",0.1005,1
"86",0.0463,1
"87",0.0265,1
"88",0.0173,1
"89",0.0675,0.9913
"90",1.2862,0.5742
"91",2.276,0.5109
"92",1.0645,0.617
"93",0.1736,0.9425
"94",0.0229,1
"95",0.2627,0.9919
"96",0.0728,1
"97",0.0646,1
"98",0.0392,1
"99",0.0257,1
"100",0.0191,1
"101",0.0135,1
"102",0.0111,1
"103",0.0143,0.999
"104",0.0528,1
"105",0.111,0.9973
"106",0.0755,1
"107",0.0395,1
"108",0.0219,1
"109",0.0154,1
"110",0.0133,1
"111",0.0204,0.9986
"112",0.0812,0.9951
"113",0.172,0.9447
"114",0.0751,1
"115",0.0299,1
"116",0.0191,1
"117",0.0131,1
"118",0.0111,1
"119",0.0094,1
"120",0.0092,1
"121",0.0077,1
"122",0.0078,1
"123",0.0072,1
"124",0.0071,1
"125",0.0071,1
"126",0.0088,1
"127",0.0116,1
"128",0.012,1
"129",0.0122,1
"130",0.0108,1
"131",0.0093,1
"132",0.0081,1
"133",0.0067,1
"134",0.0068,1
"135",0.0062,1
"136",0.007,1
"137",0.0073,1
"138",0.007,1
"139",0.0068,1
"140",0.0061,1
"141",0.0058,1
"142",0.0061,1
"143",0.0057,1
"144",0.0055,1
"145",0.0064,1
"146",0.0056,1
"147",0.0058,1
"148",0.0057,1
"149",0.0056,1
"150",0.0053,1
"151",0.0061,1
"152",0.0071,1
"153",0.0071,1
"154",0.0072,1
"155",0.0061,1
"156",0.0058,1
"157",0.0059,1
"158",0.0066,1
"159",0.0062,1
"160",0.0057,1
"161",0.0058,1
"162",0.0918,0.9714
"163",1.3628,0.5708
"164",0.9215,0.6653
"165",0.0799,0.9757
"166",0.0202,0.9995
"167",0.3353,0.8523
"168",0.4353,0.7715
"169",0.0638,1
"170",0.2182,0.9919
"171",0.0194,1
"172",0.0153,1
"173",0.0123,1
"174",0.0095,1
"175",0.0084,1
"176",0.0068,1
"177",0.0061,1
"178",0.0058,1
"179",0.0054,1
"180",0.0049,1
"181",0.0053,1
"182",0.0051,1
"183",0.0051,1
"184",0.0087,0.9978
"185",0.051,0.9993
"186",0.0757,0.9919
"187",0.0416,1
"188",0.0204,1
"189",0.0107,1
"190",0.0082,1
"191",0.0068,1
"192",0.0058,1
"193",0.0056,1
"194",0.005,1
"195",0.0046,1
"196",0.0051,1
"197",0.0059,1
"198",0.0062,1
"199",0.0061,1
